code,binned,age,sex,population_2015,population_2016,population_2017,population_2018
E06000052,"(25, 35]",610,30,55180,55104,55380,56128
E06000052,"(35, 45]",810,30,63081,62711,62131,61572
E06000052,"(45, 55]",1010,30,78797,79673,80756,81067
E06000052,"(55, 65]",1210,30,75209,75692,77099,78838
E06000052,"(65, 90]",3900,75,124034,126968,129899,132000
E06000053,"(15, 18]",102,9,39,38,40,36
E06000053,"(18, 25]",308,21,187,169,179,148
E06000053,"(25, 35]",610,30,283,274,254,270
E06000053,"(35, 45]",810,30,291,294,281,266
E06000053,"(45, 55]",1010,30,310,331,301,329
E06000053,"(55, 65]",1210,30,324,333,323,307
E06000053,"(65, 90]",3900,75,544,542,541,544
E06000054,"(15, 18]",102,9,18005,17767,17365,16873
E06000054,"(18, 25]",308,21,34095,33274,32435,31552
E06000054,"(25, 35]",610,30,55189,55422,56073,56368
E06000054,"(35, 45]",810,30,61906,60832,60478,59456
E06000054,"(45, 55]",1010,30,73712,74694,75109,75326
E06000054,"(55, 65]",1210,30,59925,60949,62381,64028
E06000054,"(65, 90]",3900,75,93430,95964,98092,99945
E06000055,"(15, 18]",102,9,6484,6362,6180,6119
E06000055,"(18, 25]",308,21,13310,13046,12618,12421
E06000055,"(25, 35]",610,30,21413,21580,21097,20967
E06000055,"(35, 45]",810,30,22375,22751,23077,23272
E06000055,"(45, 55]",1010,30,23906,24369,24629,24603
E06000055,"(55, 65]",1210,30,18354,18649,19082,19647
E06000055,"(65, 90]",3900,75,26912,27587,28099,28572
E06000056,"(15, 18]",102,9,9382,9199,9178,9101
E06000056,"(18, 25]",308,21,19439,19264,18676,18364
E06000056,"(25, 35]",610,30,35049,35943,36689,37423
E06000056,"(35, 45]",810,30,37612,38055,38171,38516
E06000056,"(45, 55]",1010,30,41597,41886,42082,41980
E06000056,"(55, 65]",1210,30,32072,32511,33245,34205
E06000056,"(65, 90]",3900,75,44002,45381,46718,47679
E06000057,"(15, 18]",102,9,10692,10458,10213,9923
E06000057,"(18, 25]",308,21,21787,21499,20929,20373
E06000057,"(25, 35]",610,30,32827,32839,33309,33617
E06000057,"(35, 45]",810,30,36491,36257,35495,35292
E06000057,"(45, 55]",1010,30,48437,47872,47790,47226
E06000057,"(55, 65]",1210,30,45993,46523,47252,48182
E06000057,"(65, 90]",3900,75,68148,70015,71838,73306
E06000058,"(15, 18]",102,9,12510,12410,12207,11763
E06000058,"(18, 25]",308,21,37362,38227,38477,37425
E06000058,"(25, 35]",610,30,51459,50429,49201,48348
E06000058,"(35, 45]",810,30,49238,49584,49924,50011
E06000058,"(45, 55]",1010,30,52745,53378,53841,53894
E06000058,"(55, 65]",1210,30,43528,43808,44402,45502
E06000058,"(65, 90]",3900,75,78782,79798,80552,81088
E06000059,"(15, 18]",102,9,13179,12911,12553,12096
E06000059,"(18, 25]",308,21,23292,22465,21845,21291
E06000059,"(25, 35]",610,30,32970,33556,33916,34090
E06000059,"(35, 45]",810,30,39851,39120,38403,37875
E06000059,"(45, 55]",1010,30,53904,54126,54153,53812
E06000059,"(55, 65]",1210,30,52527,52787,53575,54961
E06000059,"(65, 90]",3900,75,96365,98723,100759,102436
E07000004,"(15, 18]",102,9,7171,7238,7141,6967
E07000004,"(18, 25]",308,21,13641,13774,13602,13900
E07000004,"(25, 35]",610,30,23291,24081,24774,25433
E07000004,"(35, 45]",810,30,26338,26914,27296,27662
E07000004,"(45, 55]",1010,30,28812,29133,29476,29593
E07000004,"(55, 65]",1210,30,21494,22044,22587,23123
E07000004,"(65, 90]",3900,75,28975,29940,30740,31423
E07000005,"(15, 18]",102,9,3708,3669,3607,3519
E07000005,"(18, 25]",308,21,5332,5322,5233,5280
E07000005,"(25, 35]",610,30,7960,7989,7946,8022
E07000005,"(35, 45]",810,30,12774,12750,12589,12622
E07000005,"(45, 55]",1010,30,14939,14933,14928,14918
E07000005,"(55, 65]",1210,30,11531,11674,11988,12192
E07000005,"(65, 90]",3900,75,18981,19305,19358,19496
E07000006,"(15, 18]",102,9,2437,2446,2371,2379
E07000006,"(18, 25]",308,21,4273,4252,4235,4250
E07000006,"(25, 35]",610,30,7401,7359,7282,7268
E07000006,"(35, 45]",810,30,8861,8859,8705,8694
E07000006,"(45, 55]",1010,30,10894,10967,10916,10847
E07000006,"(55, 65]",1210,30,8471,8592,8783,9093
E07000006,"(65, 90]",3900,75,13640,13840,13946,13983
E07000007,"(15, 18]",102,9,6478,6577,6534,6512
E07000007,"(18, 25]",308,21,13804,13294,12712,12128
E07000007,"(25, 35]",610,30,21037,20883,20325,19856
E07000007,"(35, 45]",810,30,24582,24283,24092,23816
E07000007,"(45, 55]",1010,30,24870,25229,25404,25490
E07000007,"(55, 65]",1210,30,19122,19220,19424,19729
E07000007,"(65, 90]",3900,75,28910,29583,30050,30558
E07000008,"(15, 18]",102,9,4045,4107,4075,4191
E07000008,"(18, 25]",308,21,26303,26084,26781,27297
E07000008,"(25, 35]",610,30,20762,19891,19121,18478
E07000008,"(35, 45]",810,30,15483,15294,14996,14663
E07000008,"(45, 55]",1010,30,13440,13671,13854,13916
E07000008,"(55, 65]",1210,30,10286,10340,10460,10622
E07000008,"(65, 90]",3900,75,14691,14797,14929,15230
E07000009,"(15, 18]",102,9,2980,2977,2894,2822
E07000009,"(18, 25]",308,21,5518,5295,5316,5410
E07000009,"(25, 35]",610,30,10636,10504,10256,10059
E07000009,"(35, 45]",810,30,12485,12450,12454,12350
E07000009,"(45, 55]",1010,30,12957,13038,13135,13311
E07000009,"(55, 65]",1210,30,10112,10253,10488,10738
E07000009,"(65, 90]",3900,75,15753,16199,16551,16874
E07000010,"(15, 18]",102,9,3459,3371,3250,3110
E07000010,"(18, 25]",308,21,7498,7478,7510,7488
E07000010,"(25, 35]",610,30,11653,11866,12082,12258
E07000010,"(35, 45]",810,30,11680,11382,11381,11266
E07000010,"(45, 55]",1010,30,14064,14311,14380,14390
E07000010,"(55, 65]",1210,30,12559,12652,12856,13107
E07000010,"(65, 90]",3900,75,20539,20955,21366,21721
E07000011,"(15, 18]",102,9,6269,6081,5963,5738
E07000011,"(18, 25]",308,21,12150,11839,11679,11539
E07000011,"(25, 35]",610,30,21882,22030,22235,22354
E07000011,"(35, 45]",810,30,23717,23429,23144,22762
E07000011,"(45, 55]",1010,30,26704,26791,27030,26896
E07000011,"(55, 65]",1210,30,21041,21306,21600,22075
E07000011,"(65, 90]",3900,75,30935,31861,32688,33302
E07000012,"(15, 18]",102,9,5531,5407,5375,5429
E07000012,"(18, 25]",308,21,9206,9350,9020,8892
E07000012,"(25, 35]",610,30,18003,17851,17547,17268
E07000012,"(35, 45]",810,30,22612,22745,22665,22540
E07000012,"(45, 55]",1010,30,23306,23438,23751,24026
E07000012,"(55, 65]",1210,30,18070,18233,18423,18654
E07000012,"(65, 90]",3900,75,27149,27803,28420,28949
E07000026,"(15, 18]",102,9,3369,3248,3149,3056
E07000026,"(18, 25]",308,21,6818,6864,6688,6559
